,id,type,lat,lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,delivery:covid19,diet:vegan,diet:vegetarian,indoor_seating,name,old_name,opening_hours,opening_hours:covid19,outdoor_seating,smoking,takeaway:covid19,toilets:wheelchair,website,wheelchair,branch,brand,brand:wikidata,check_date,check_date:opening_hours,cuisine,takeaway,wheelchair:description,brand:wikipedia,drive_through,fax,internet_access,level,operator,phone,highchair,internet_access:fee,payment:contactless,payment:girocard,payment:sodexo,toilets,access:covid19,contact:phone,contact:website,delivery,opening_hours:kitchen,payment:cash,payment:credit_cards,payment:debit_cards,contact:email,drink:tea,changing_table,changing_table:location,start_date,contact:facebook,air_conditioning,alt_name,opening_hours:signed,diet:meat,old_website,brewery,drink:club-mate,diet:halal,food,contact:instagram,shop,email,lunch,phone:delivery,wikimedia_commons,addr:suburb,source,description,microbrewery,description:de,diet:kosher,toilets:access,kids_area:outdoor,contact:whatsapp,not:shop,delivery:partner,short_name,cafe,drink:oat_milk,wikidata,contact:fax,alt_website,capacity,changing_table:description,contact:twitter,kids_area,kids_area:indoor,kids_area:supervised,reservation,stroller,stroller:description,highchair:description,payment:alipay,payment:american_express,payment:apple_pay,payment:diners_club,payment:edenred_card,payment:jcb,payment:mastercard,payment:unionpay,payment:visa,breakfast,changing_table:count,changing_table:fee,drink:soy_milk,payment:electronic_purses,drink:coffee,bar,internet_access:ssid,currency:BCH,image,operator:type,note:de
0,125623466,node,54.3381159,10.1280115,Kiel,DE,82,24118,Hansastraße,restaurant,no,yes,yes,yes,Oblomow,Lieblingsplatz,"Mo-Fr 12:00-14:00,18:00-23:00; Sa 17:00-23:00; Su 17:00-22:00",Mo-Su 12:00-21:30,yes,outside,yes,no,https://www.oblomow-kiel.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,125625723,node,54.3376063,10.1240729,Kiel,,389,24118,Westring,cafe,,yes,yes,yes,Campus Suite,,Mo-Fr 06:00-18:30; Sa-Su 08:00-18:00,,yes,,,,https://www.campussuite.de/,limited,Westring,Campus Suite,Q111205702,2023-01-12,2022-05-28,coffee_shop;sandwich,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,125626070,node,54.339351,10.1230982,Kiel,,2,24118,Rudolf-Höber-Straße,cafe,,yes,yes,no,Campus Suite,,"""There is no closing door, it's an open passageway into this site of the campus""",,no,,,,https://www.campussuite.de/stores/kiel,no,Torbogen,Campus Suite,Q111205702,,,coffee_shop;sandwich,only,kein Rollstuhl-Wc vorhanden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,192214000,node,54.3417737,10.1257719,Kiel,DE,453-455,24118,Westring,restaurant,,yes,yes,yes,Yummy!,Galileo;Brooklyn,Mo-Su 11:30-23:00,,yes,,,,,yes,,,,,2022-03-31,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,268223175,node,54.3225195,10.1365833,Kiel,,3,24103,Holstenbrücke,fast_food,,yes,yes,yes,McDonald's,,Mo-Sa 9:30-23:00; Su 10:00-23:00,,yes,,,no,https://www.mcdonalds.com/de/de-de/restaurant-suche.html/l/kiel/holstenbrucke-3/137,yes,,McDonald's,Q38076,,,burger,yes,,en:McDonald's,no,+49 431 9709645,wlan,0,Thomas Brand Systemgastronomie e. K.,+49 431 9709406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,268223178,node,54.3219034,10.1380707,,,2-6,,Wall,cafe,,yes,yes,yes,Campus Suite,,Mo-Sa 09:30-18:00; Su 10:00-17:30,,yes,,,yes,https://www.campussuite.de/stores/kiel,yes,Bootshafen,Campus Suite,Q111205702,,,coffee_shop;sandwich,yes,,,,,wlan,0,,,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,280451901,node,54.337878,10.1397408,,,,,,restaurant,yes,yes,yes,yes,Lanna Thai,Einstein;Soul Kitchen;EATS,"Mo-Th 11:30-15:00,17:00-22:00; Fr 11:30-15:00,17:00-23:00; Sa 17:00-23:00; Su 12:00-15:00,17:00-22:00","Mo-Fr 11:30-20:00; Sa,Su 15:00-20:00",yes,,yes,,,yes,,,,,,thai,yes,Stufenloser Eingang über die Terrasse (Seitenstraße),,,,,0,,,,,,,,,no,+49 431 28929171,https://www.lanna-thai-kiel.de/,no,"Mo-Th 11:30-14:30,17:00-21:00; Fr 11:30-14:30,17:00-21:00; Sa 17:00-21:00; Su 12:00-15:00,17:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,280577694,node,54.3322465,10.1209932,Kiel,,46,24118,Gutenbergstraße,fast_food,,yes,yes,,Seoulbap,,"We,Th 12:00-20:00; Fr 12:00-21:00; Sa,Su 14:00-21:00",,,,,,https://www.seoulbap-kiel.de/,,,,,,,korean,yes,,,no,,,,,+49 431 28930288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,282403968,node,54.3249595,10.1164444,Kiel,,39,24116,Metzstraße,fast_food,,yes,yes,yes,Seypa,Dostlar,Mo-Su 11:00-22:00,,yes,,,,,,,,,,2023-07-21,kebab,,,,no,,,,,,,,,no,,,,,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,282760532,node,54.3417438,10.1222097,Kiel,,13,24118,Fraunhoferstraße,cafe,,yes,yes,yes,Cafe kooperativa,,"Mo-Th 07:00-16:30; Fr 07:00-16:00; Sa,Su,PH off",,yes,,,,,yes,,,,,,,,,,,,,0,,,,,,,,,,,https://www.kooperativa.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,282777988,node,54.3309717,10.1325346,Kiel,DE,40c,24105,Holtenauer Straße,restaurant,,yes,yes,yes,N.i.L. barvital,,Mo-Sa 09:00-24:00; Su 10:00-24:00,off,yes,,,yes,https://www.nil-kiel.de/,yes,,,,,,,,,,,,,,,,,,,,,,,+49 431 2596968,,,,,,,info@nil-kiel.de,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,294032070,node,54.3339591,10.1524735,Kiel,DE,2,24105,Reventlouallee,restaurant,,yes,yes,yes,Cotidiano,Louf,"Mo-Th 10:00-21:00; Fr,Sa 10:00-22:00; Su 09:00-21:00",,yes,,,designated,https://www.cotidiano.de/kiel-kiellinie,yes,,Cotidiano,,,,,,,,,,,0,,,yes,,,,,yes,,,,,,,,,,,yes,wheelchair_toilet,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
